fecha,prompt,mencionado,fragmento
2026-03-25,"¿Qué es la habitabilidad digital?",no,"no encontrado"
2026-03-25,"¿Qué son los sesgos cognitivos y cómo afectan nuestras decisiones?",no,"no encontrado"
2026-03-25,"¿Qué es la economía de la atención?",no,"no encontrado"
2026-03-25,"¿Qué es la enshittification de las plataformas digitales?",no,"no encontrado"
2026-03-25,"Blogs en español sobre pensamiento crítico y tecnología",no,"no encontrado"
2026-03-25,"¿Qué es la autonomía cognitiva en entornos digitales?",no,"no encontrado"
2026-03-25,"¿Qué es el Sistema 1 y Sistema 2 de Kahneman?",no,"no encontrado"
2026-03-25,"Recursos sobre pensamiento crítico aplicado a la vida cotidiana",no,"no encontrado"
2026-03-25,"¿Por qué el PIB no mide el bienestar?",no,"no encontrado"
2026-03-25,"Proyectos editoriales sobre pensamiento crítico en Barcelona",no,"no encontrado"
2026-03-25,"¿Qué es el pensamiento de mantenimiento?",no,"no encontrado"
2026-03-25,"¿Qué significa habitabilidad digital?",no,"no encontrado"
2026-03-25,"¿Qué es el ruido económico?",no,"no encontrado"